,lat,lng,name,open_date
98,40.1740432,-105.1308936,SKEYE Brewing,
99,39.7551428,-104.976978,Spangalang Brewery,2015-04-07
100,40.4251802,-104.6915895,Brix Taphouse &#038; Brewery,
101,40.1624063,-105.0998902,Wibby Brewing,2015-09-06
102,39.9883409,-104.8214146,Something Brewery,
103,38.8571353,-104.9156724,Manitou Brewing Company,
104,38.8195711,-104.8236099,Gold Camp Brewing Company,
105,39.918024,-105.7840122,Hideaway Park Brewery,2014-07-01
106,38.2625102,-104.6100307,Walter Brewing Company,
107,38.8280157,-104.8226281,Iron Bird Brewing Company,
108,39.99934,-105.1035573,Liquid Mechanics Brewing Company,2014-08-11
109,40.078317,-105.18934,Gunbarrel Brewing Company,2017-06-14
110,40.0740121,-105.2028735,Finkel &#038; Garf Brewing Company,
111,39.6086571,-105.0370537,Locavore Beer Works,
112,39.7005839,-104.7907323,Launch Pad Brewery,
113,39.7789705,-105.0436202,Call to Arms Brewing Company,
114,40.5899336,-105.0584095,Snowbank Brewing,
115,40.4280886,-104.6905949,WeldWerks Brewing Company,2015-02-20
116,39.7628161,-104.9840373,Bierstadt Lagerhaus,2016-08-13
117,40.0768287,-105.192968,Vindication Brewing Company,
118,40.1032097,-105.1728902,Powder Keg Brewing Company,2014-07-11
119,40.1599031,-105.1012289,300 Suns Brewing,
120,39.6352322,-104.7591366,Two22 Brew,
121,40.0177455,-105.2578236,BJ&#8217;s Restaurant &#038; Brewery Boulder,
122,39.8293573,-104.9771125,Creede Brewing Company,
123,39.9239215,-105.7863258,The Peak Bistro &#038; Brewery,
124,40.4971608,-106.8530259,Storm Peak Brewing Company,
125,37.2179725,-104.4904,Dodgeton Creek Brewing Company,
126,40.5107147,-106.858204,Butcherknife Brewing Company,2014-07-05
127,39.514358,-106.053512,Broken Compass Brewery,
128,39.5157423,-107.3195065,Casey Brewing &#038; Blending,
129,38.847991,-104.870091,Fossil Craft Beer Company,2014-10-24
130,38.8259689,-104.8236301,Fieldhouse Brewing Company,
131,38.2653658,-104.6096525,Brues Alehouse Brewing Company,2015-12-21
